,0,1
0,0.0,0.0
1,Trial Started,11532.4068894
2,"p300,s,9,4,3",11532.4112642
3,"p300,s,9,4,7",11532.606672
4,"p300,s,9,4,1",11532.8062216
5,"p300,s,9,4,5",11533.0062139
6,"p300,s,9,4,6",11533.2060692
7,"p300,s,9,4,0",11533.4209992
8,"p300,s,9,4,2",11533.6188885
9,"p300,s,9,4,4",11533.7991774
10,"p300,s,9,4,8",11534.0537979
11,"p300,s,9,4,1",11534.2533308
12,"p300,s,9,4,0",11534.4369631
13,"p300,s,9,4,6",11534.6371543
14,"p300,s,9,4,7",11534.8370004
15,"p300,s,9,4,4",11535.0374295
16,"p300,s,9,4,2",11535.2373669
17,"p300,s,9,4,5",11535.4366143
18,"p300,s,9,4,3",11535.6370463
19,"p300,s,9,4,8",11535.8369206
20,"p300,s,9,4,7",11536.0374665
21,"p300,s,9,4,2",11536.237851
22,"p300,s,9,4,5",11536.4375364
23,"p300,s,9,4,3",11536.6376409
24,"p300,s,9,4,0",11536.8376341
25,"p300,s,9,4,1",11537.0364833
26,"p300,s,9,4,6",11537.2375246
27,"p300,s,9,4,4",11537.4376405
28,"p300,s,9,4,8",11537.6289078
29,"p300,s,9,4,7",11537.8299046
30,"p300,s,9,4,6",11538.0291455
31,"p300,s,9,4,1",11538.2290532
32,"p300,s,9,4,0",11538.4136162
33,"p300,s,9,4,3",11538.6130799
34,"p300,s,9,4,2",11538.8133078
35,"p300,s,9,4,4",11539.0132777
36,"p300,s,9,4,5",11539.2129452
37,"p300,s,9,4,8",11539.4124821
38,"p300,s,9,4,1",11539.5964053
39,"p300,s,9,4,5",11539.7959552
40,"p300,s,9,4,6",11539.996094
41,"p300,s,9,4,4",11540.196669
42,"p300,s,9,4,2",11540.3964007
43,"p300,s,9,4,0",11540.5959065
44,"p300,s,9,4,7",11540.7966345
45,"p300,s,9,4,3",11540.9957187
46,"p300,s,9,4,8",11541.1962316
47,"p300,s,9,4,3",11541.3965826
48,"p300,s,9,4,1",11541.5963475
49,"p300,s,9,4,0",11541.7964028
50,"p300,s,9,4,7",11541.9962355
51,"p300,s,9,4,2",11542.1960733
52,"p300,s,9,4,4",11542.3966459
53,"p300,s,9,4,6",11542.5966189
54,"p300,s,9,4,5",11542.7963848
55,"p300,s,9,4,8",11542.9958492
56,"p300,s,9,4,5",11543.179583
57,"p300,s,9,4,7",11543.3789461
58,"p300,s,9,4,4",11543.5795321
59,"p300,s,9,4,0",11543.7792699
60,"p300,s,9,4,6",11543.9798578
61,"p300,s,9,4,1",11544.1802147
62,"p300,s,9,4,2",11544.4049443
63,"p300,s,9,4,3",11544.6074298
64,"p300,s,9,4,8",11544.8046195
65,"p300,s,9,4,3",11545.0049333
66,"p300,s,9,4,0",11545.2050251
67,"p300,s,9,4,6",11545.4046628
68,"p300,s,9,4,4",11545.6038677
69,"p300,s,9,4,5",11545.7882388
70,"p300,s,9,4,2",11545.9870963
71,"p300,s,9,4,7",11546.1715161
72,"p300,s,9,4,1",11546.3716952
73,"p300,s,9,4,8",11546.5712184
74,"p300,s,9,4,0",11546.7709588
75,"p300,s,9,4,3",11546.9713003
76,"p300,s,9,4,7",11547.1715029
77,"p300,s,9,4,5",11547.3714407
78,"p300,s,9,4,6",11547.5712159
79,"p300,s,9,4,4",11547.7713965
80,"p300,s,9,4,2",11547.9719263
81,"p300,s,9,4,1",11548.1707645
82,"p300,s,9,4,8",11548.3551714
83,"p300,s,9,4,4",11548.5554502
84,"p300,s,9,4,0",11548.7547982
85,"p300,s,9,4,6",11548.9541133
86,"p300,s,9,4,7",11549.1553099
87,"p300,s,9,4,2",11549.3540051
88,"p300,s,9,4,3",11549.5378435
89,"p300,s,9,4,5",11549.7220467
90,"p300,s,9,4,1",11549.9209906
91,"p300,s,9,4,8",11550.1208215
92,"p300,s,9,4,7",11550.3055164
93,"p300,s,9,4,0",11550.5052357
94,"p300,s,9,4,5",11550.7055195
95,"p300,s,9,4,3",11550.9038526
96,"p300,s,9,4,1",11551.0871846
97,"p300,s,9,4,6",11551.2711027
98,"p300,s,9,4,2",11551.4705688
99,"p300,s,9,4,4",11551.6719215
100,"p300,s,9,4,8",11551.8718102
