,0,1
101,Trial Ends,11552.0710542
102,Trial Started,11558.6795777
103,"p300,s,9,6,7",11558.6800073
104,"p300,s,9,6,1",11558.880134
105,"p300,s,9,6,4",11559.0761506
106,"p300,s,9,6,2",11559.2614067
107,"p300,s,9,6,6",11559.4450109
108,"p300,s,9,6,0",11559.645835
109,"p300,s,9,6,3",11559.8448637
110,"p300,s,9,6,5",11560.028828
111,"p300,s,9,6,8",11560.2295215
112,"p300,s,9,6,4",11560.4289576
113,"p300,s,9,6,5",11560.6292409
114,"p300,s,9,6,0",11560.8299944
115,"p300,s,9,6,7",11561.0291025
116,"p300,s,9,6,3",11561.2295667
117,"p300,s,9,6,1",11561.4284527
118,"p300,s,9,6,6",11561.6290487
119,"p300,s,9,6,2",11561.8119708
120,"p300,s,9,6,8",11562.0211
121,"p300,s,9,6,1",11562.2222178
122,"p300,s,9,6,4",11562.4213603
123,"p300,s,9,6,3",11562.6055452
124,"p300,s,9,6,0",11562.8049823
125,"p300,s,9,6,5",11563.0072456
126,"p300,s,9,6,7",11563.2047784
127,"p300,s,9,6,2",11563.4049744
128,"p300,s,9,6,6",11563.6042648
129,"p300,s,9,6,8",11563.804896
130,"p300,s,9,6,5",11564.0045617
131,"p300,s,9,6,6",11564.2045543
132,"p300,s,9,6,4",11564.4045117
133,"p300,s,9,6,0",11564.6050505
134,"p300,s,9,6,7",11564.8049956
135,"p300,s,9,6,3",11565.0049372
136,"p300,s,9,6,1",11565.2056567
137,"p300,s,9,6,2",11565.4054392
138,"p300,s,9,6,8",11565.6055634
139,"p300,s,9,6,6",11565.805524
140,"p300,s,9,6,7",11566.0053944
141,"p300,s,9,6,0",11566.2046068
142,"p300,s,9,6,5",11566.4057794
143,"p300,s,9,6,4",11566.605528
144,"p300,s,9,6,2",11566.8055365
145,"p300,s,9,6,1",11567.0058106
146,"p300,s,9,6,3",11567.2054316
147,"p300,s,9,6,8",11567.4060471
148,"p300,s,9,6,2",11567.6055833
149,"p300,s,9,6,6",11567.8055576
150,"p300,s,9,6,7",11568.0058445
151,"p300,s,9,6,0",11568.2030496
152,"p300,s,9,6,4",11568.4021329
153,"p300,s,9,6,3",11568.5854492
154,"p300,s,9,6,5",11568.8545758
155,"p300,s,9,6,1",11569.0509734
156,"p300,s,9,6,8",11569.2520768
157,"p300,s,9,6,2",11569.4518097
158,"p300,s,9,6,6",11569.6514894
159,"p300,s,9,6,5",11569.8507323
160,"p300,s,9,6,4",11570.0353039
161,"p300,s,9,6,1",11570.2681433
162,"p300,s,9,6,3",11570.4647105
163,"p300,s,9,6,7",11570.6666779
164,"p300,s,9,6,0",11570.8651105
165,"p300,s,9,6,8",11571.0655303
166,"p300,s,9,6,2",11571.2648124
167,"p300,s,9,6,4",11571.4645765
168,"p300,s,9,6,6",11571.6486651
169,"p300,s,9,6,0",11571.8492137
170,"p300,s,9,6,7",11572.0480686
171,"p300,s,9,6,5",11572.2481592
172,"p300,s,9,6,3",11572.4487394
173,"p300,s,9,6,1",11572.6491319
174,"p300,s,9,6,8",11572.8480439
175,"p300,s,9,6,7",11573.0496317
176,"p300,s,9,6,2",11573.2488181
177,"p300,s,9,6,4",11573.4482856
178,"p300,s,9,6,0",11573.6488904
179,"p300,s,9,6,1",11573.8476298
180,"p300,s,9,6,3",11574.0314523
181,"p300,s,9,6,5",11574.2314208
182,"p300,s,9,6,6",11574.4312776
183,"p300,s,9,6,8",11574.6156199
184,Trial Ends,11574.8155678
185,Trial Started,11581.298378
186,"p300,s,9,2,0",11581.2987954
187,"p300,s,9,2,4",11581.4992624
188,"p300,s,9,2,7",11581.6951607
189,"p300,s,9,2,5",11581.8924153
190,"p300,s,9,2,2",11582.0931267
191,"p300,s,9,2,1",11582.2925045
192,"p300,s,9,2,3",11582.4928762
193,"p300,s,9,2,6",11582.6922487
194,"p300,s,9,2,8",11582.8914298
195,"p300,s,9,2,1",11583.0917776
196,"p300,s,9,2,0",11583.2754495
197,"p300,s,9,2,5",11583.4733651
198,"p300,s,9,2,7",11583.6581958
199,"p300,s,9,2,4",11583.8418045
200,"p300,s,9,2,3",11584.0424469
201,"p300,s,9,2,6",11584.2418476
202,"p300,s,9,2,2",11584.4256272
203,"p300,s,9,2,8",11584.6247093
204,"p300,s,9,2,4",11584.8256661
205,"p300,s,9,2,5",11585.0252508
206,"p300,s,9,2,1",11585.2403794
207,"p300,s,9,2,2",11585.4408395
208,"p300,s,9,2,6",11585.6237989
209,"p300,s,9,2,7",11585.8237526
210,"p300,s,9,2,3",11586.0081894
211,"p300,s,9,2,0",11586.2070475
212,"p300,s,9,2,8",11586.4069582
213,"p300,s,9,2,1",11586.6065832
214,"p300,s,9,2,4",11586.7905406
215,"p300,s,9,2,6",11586.9909024
216,"p300,s,9,2,0",11587.1906084
217,"p300,s,9,2,2",11587.389976
218,"p300,s,9,2,7",11587.5905664
219,"p300,s,9,2,5",11587.7913241
220,"p300,s,9,2,3",11587.9911544
221,"p300,s,9,2,8",11588.1903207
222,"p300,s,9,2,1",11588.3740377
223,"p300,s,9,2,7",11588.5744696
224,"p300,s,9,2,3",11588.7732696
225,"p300,s,9,2,2",11588.996929
226,"p300,s,9,2,6",11589.1965826
227,"p300,s,9,2,0",11589.3961396
228,"p300,s,9,2,5",11589.5922819
229,"p300,s,9,2,4",11589.829716
230,"p300,s,9,2,8",11590.0147318
231,"p300,s,9,2,7",11590.2130303
232,"p300,s,9,2,3",11590.3980247
233,"p300,s,9,2,2",11590.5972757
234,"p300,s,9,2,1",11590.7798333
235,"p300,s,9,2,5",11590.980431
236,"p300,s,9,2,0",11591.1810845
237,"p300,s,9,2,4",11591.3800292
238,"p300,s,9,2,6",11591.5797008
239,"p300,s,9,2,8",11591.7618937
240,"p300,s,9,2,2",11591.9483092
241,"p300,s,9,2,6",11592.1473239
242,"p300,s,9,2,5",11592.3467737
243,"p300,s,9,2,0",11592.5465034
244,"p300,s,9,2,7",11592.7465027
245,"p300,s,9,2,4",11592.9464244
246,"p300,s,9,2,1",11593.1472941
247,"p300,s,9,2,3",11593.34704
248,"p300,s,9,2,8",11593.547326
249,"p300,s,9,2,2",11593.7464881
250,"p300,s,9,2,1",11593.9301503
251,"p300,s,9,2,7",11594.129619
252,"p300,s,9,2,5",11594.3306768
253,"p300,s,9,2,3",11594.5302876
254,"p300,s,9,2,0",11594.7305875
255,"p300,s,9,2,4",11594.9306636
256,"p300,s,9,2,6",11595.1307165
257,"p300,s,9,2,8",11595.3306895
258,"p300,s,9,2,4",11595.5297417
259,"p300,s,9,2,1",11595.7141476
260,"p300,s,9,2,6",11595.9143152
261,"p300,s,9,2,7",11596.0975352
262,"p300,s,9,2,2",11596.2963252
263,"p300,s,9,2,0",11596.4805944
264,"p300,s,9,2,3",11596.681242
265,"p300,s,9,2,5",11596.8643622
266,"p300,s,9,2,8",11597.0646911
267,"p300,s,9,2,5",11597.2587299
268,"p300,s,9,2,6",11597.4549548
269,"p300,s,9,2,0",11597.6384826
270,"p300,s,9,2,4",11597.8391486
271,"p300,s,9,2,7",11598.0380001
272,"p300,s,9,2,2",11598.2219936
273,"p300,s,9,2,1",11598.4214658
274,"p300,s,9,2,3",11598.6218342
275,"p300,s,9,2,8",11598.8216821
276,Trial Ends,11599.0210359
277,Training Complete,11602.2215108
